                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6687,                 2.6681,                 1.3079,                0.14566,                0.13342,                 0.0631,                0.01892,                 2.7994,                 3.1278,                 1.8718,             0.00032867,             0.00032867,             0.00032867
                      2,                 1.4539,                 1.6128,                 1.1743,                0.19171,                0.28675,                0.14378,                0.04079,                  2.641,                 2.9067,                 1.6501,             0.00064503,             0.00064503,             0.00064503
                      3,                 1.5195,                  1.611,                 1.1613,                0.07624,                0.15679,                 0.0528,                 0.0144,                 2.8229,                 6.6386,                 1.7314,             0.00093423,             0.00093423,             0.00093423
                      4,                 1.4364,                 1.5622,                 1.1649,                0.16317,                0.31569,                0.13259,                0.04316,                 2.5647,                 3.1298,                 1.5359,              0.0011963,              0.0011963,              0.0011963
                      5,                 1.4153,                 1.4619,                 1.1227,                0.21438,                 0.4127,                0.25126,                0.08921,                 2.2439,                 2.2533,                 1.4121,              0.0012026,              0.0012026,              0.0012026
                      6,                  1.451,                 1.4406,                 1.1466,                0.16259,                0.27062,                0.14752,                0.04786,                  2.555,                 2.8116,                 1.5067,              0.0012026,              0.0012026,              0.0012026
                      7,                 1.3709,                  1.419,                 1.1015,                0.23982,                0.46901,                 0.2616,                 0.0793,                  2.379,                 2.6027,                 1.4445,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.3692,                 1.3305,                 1.1117,                0.31983,                 0.4209,                0.29422,                0.10727,                 2.2616,                 1.8823,                 1.4523,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.3035,                 1.2604,                  1.101,                0.31036,                0.48362,                0.28793,                0.09716,                 2.3157,                 2.2578,                 1.4336,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.3265,                 1.2637,                 1.0975,                0.40836,                0.42724,                 0.2789,                0.09017,                 2.2256,                 2.0273,                 1.3926,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.2852,                 1.2698,                 1.0997,                0.32247,                 0.3737,                0.26713,                0.08277,                 2.4429,                  1.982,                 1.4895,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.3132,                 1.2018,                 1.0729,                0.48795,                 0.4594,                0.42933,                0.15347,                 2.2056,                  1.814,                 1.4171,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.2794,                 1.1647,                 1.0867,                0.46464,                0.46269,                 0.4104,                0.14105,                 2.2688,                 1.8003,                 1.3857,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.3275,                 1.1446,                 1.0865,                0.43969,                 0.4335,                0.36484,                0.13987,                 2.1029,                  1.668,                 1.4145,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.2097,                 1.0942,                 1.0466,                0.46192,                0.40264,                0.36362,                0.12492,                 2.3563,                  1.856,                  1.451,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.2524,                  1.163,                 1.0961,                0.41583,                0.45269,                0.36662,                0.11735,                  2.255,                 1.8535,                 1.4249,             0.00063676,             0.00063676,             0.00063676
                     17,                  1.241,                 1.1455,                  1.088,                0.42324,                0.42559,                0.38595,                0.13556,                 2.2686,                 1.8573,                  1.361,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.2099,                 1.0959,                 1.0803,                0.47105,                0.43973,                0.38564,                0.13634,                 2.2428,                 1.7867,                 1.3716,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.1769,                 1.0489,                 1.0685,                0.42825,                0.43456,                0.35558,                0.10124,                 2.3268,                 1.7868,                  1.434,               0.000467,               0.000467,               0.000467
                     20,                 1.2191,                 1.0932,                 1.0777,                0.41424,                0.44224,                0.38204,                 0.1264,                 2.1951,                 1.9538,                 1.3619,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.1757,                0.97579,                  1.063,                0.40978,                0.43551,                0.37271,                0.13781,                 2.1616,                 1.7529,                 1.3436,             0.00035382,             0.00035382,             0.00035382
                     22,                 1.1811,                 1.0194,                 1.0667,                0.42256,                 0.4079,                0.37105,                  0.136,                  2.177,                 1.8159,                 1.3406,             0.00029723,             0.00029723,             0.00029723
                     23,                 1.1558,                0.93171,                 1.0424,                0.42344,                0.44442,                0.39219,                0.14338,                 2.1864,                 1.6963,                 1.3878,             0.00024064,             0.00024064,             0.00024064
                     24,                  1.134,                0.86093,                 1.0409,                0.43754,                 0.4711,                0.42552,                0.15268,                 2.1496,                  1.679,                 1.3564,             0.00018406,             0.00018406,             0.00018406
                     25,                 1.1218,                0.88279,                 1.0298,                0.47468,                0.45411,                 0.4245,                0.15483,                 2.1138,                  1.638,                 1.3371,             0.00012747,             0.00012747,             0.00012747
