                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8074,                 3.3642,                  1.278,                0.00212,                0.02018,                0.00281,                0.00056,                 2.7771,                 3.9935,                 1.6753,             0.00032867,             0.00032867,             0.00032867
                      2,                  1.704,                 2.2547,                 1.1513,                 0.0353,                0.37138,                0.11144,                0.02747,                 2.6732,                 3.1451,                 1.5285,             0.00066498,             0.00066498,             0.00066498
                      3,                 1.6848,                 1.9751,                 1.1314,                 0.3177,                0.20432,                0.17497,                0.04589,                 2.5783,                 2.6409,                 1.4857,              0.0009945,              0.0009945,              0.0009945
                      4,                 1.5911,                 1.8348,                 1.1373,                0.23898,                0.17242,                0.11525,                0.02777,                 2.7877,                 2.8961,                 1.7384,              0.0013172,              0.0013172,              0.0013172
                      5,                 1.5381,                 1.7197,                 1.0971,                0.24723,                0.28613,                0.19374,                0.06252,                 2.3965,                 2.4915,                 1.4284,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.5817,                   1.68,                  1.135,                0.37069,                0.40635,                0.27652,                0.09731,                 2.3541,                 2.5185,                 1.3564,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.4943,                 1.6625,                 1.0943,                0.23449,                0.32912,                0.23385,                0.06148,                 2.5863,                 2.2955,                 1.4928,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.4889,                 1.5681,                 1.0997,                0.24834,                0.40144,                0.24159,                0.07414,                 2.3415,                 2.2891,                 1.3883,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.4288,                 1.5168,                 1.0895,                 0.2929,                0.36719,                0.23361,                0.06796,                  2.429,                  2.418,                 1.4347,                0.00133,                0.00133,                0.00133
                     10,                 1.4543,                 1.5374,                 1.0963,                0.29424,                0.36234,                0.28136,                 0.0955,                 2.5217,                 2.2809,                 1.5273,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.3958,                 1.5492,                 1.0881,                0.35003,                0.35688,                0.24482,                0.07317,                 2.3789,                 2.3623,                  1.362,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.4431,                 1.4954,                 1.0652,                   0.28,                0.43432,                0.28348,                0.09841,                 2.2374,                 2.1951,                 1.3293,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.3919,                 1.4905,                 1.0729,                0.37269,                 0.4558,                0.33413,                0.12789,                 2.2332,                 2.4394,                 1.3014,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.4295,                  1.452,                 1.0833,                0.34513,                0.42306,                0.32165,                 0.1182,                 2.1404,                 2.1597,                 1.2865,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.3394,                 1.4129,                  1.057,                0.32312,                0.33952,                0.29278,                0.11053,                 2.1821,                 2.3415,                 1.3068,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.3621,                 1.3846,                 1.0685,                0.38353,                0.38726,                0.32266,                0.09241,                 2.4231,                 2.1351,                 1.3708,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.4369,                 1.4507,                 1.0819,                0.30209,                0.48724,                0.31096,                0.10056,                 2.3575,                 2.1015,                 1.3454,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.3949,                 1.3551,                 1.0592,                0.34914,                0.45355,                0.33526,                 0.1115,                 2.3336,                 2.0319,                 1.3427,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.3887,                 1.3581,                 1.0664,                0.27212,                0.45021,                 0.3201,                0.13025,                 2.1854,                 1.9816,                 1.3317,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.4351,                 1.3755,                 1.0894,                0.32885,                0.47293,                0.30505,                0.12175,                 2.2082,                 2.3689,                 1.3408,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.3277,                 1.2824,                  1.048,                0.35912,                0.38688,                0.33741,                 0.1227,                  2.189,                  1.882,                 1.2567,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.3443,                 1.2885,                 1.0625,                0.30002,                0.40419,                0.23016,                0.08062,                 2.4023,                  2.194,                 1.4331,              0.0011461,              0.0011461,              0.0011461
                     23,                  1.323,                 1.2502,                 1.0547,                0.40582,                0.44991,                0.37308,                0.12262,                 2.2915,                   1.95,                 1.3845,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.3487,                  1.273,                 1.0413,                0.39439,                0.38523,                0.33491,                0.10331,                 2.2592,                 2.0826,                 1.3507,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.2979,                 1.2504,                  1.036,                0.43287,                0.43525,                0.35794,                0.14632,                 2.1416,                 2.4486,                 1.2857,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.3112,                  1.282,                 1.0491,                0.41773,                0.44184,                0.37399,                0.12034,                 2.2594,                 1.9159,                 1.3398,              0.0010895,              0.0010895,              0.0010895
                     27,                  1.265,                 1.2297,                 1.0423,                0.44168,                0.50689,                 0.4098,                0.13345,                 2.2002,                 1.8857,                 1.3532,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.3167,                 1.2303,                 1.0539,                0.57128,                0.43393,                0.43322,                0.14384,                 2.2528,                 2.0048,                 1.3204,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.2719,                 1.1498,                 1.0388,                0.46538,                0.45815,                0.41277,                0.13472,                 2.2439,                 1.8275,                 1.3256,               0.001047,               0.001047,               0.001047
                     30,                 1.2745,                 1.1587,                 1.0283,                0.49224,                0.48034,                0.46195,                0.15066,                 2.2129,                 1.8441,                 1.3195,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.3364,                 1.2264,                 1.0495,                0.36495,                0.35012,                0.25795,                 0.0878,                 2.2469,                 2.0703,                 1.3736,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.3224,                 1.2026,                  1.054,                0.40084,                0.49146,                0.41767,                0.14792,                 2.2766,                 1.8688,                 1.3494,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.3265,                 1.1908,                 1.0403,                0.36622,                0.40429,                0.32575,                0.10296,                  2.309,                 2.1017,                 1.3725,             0.00099044,             0.00099044,             0.00099044
                     34,                  1.302,                 1.1767,                 1.0495,                0.40216,                0.40343,                0.35601,                0.12041,                 2.1971,                  1.865,                 1.3311,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.2697,                 1.0905,                 1.0278,                0.44541,                 0.4137,                0.37635,                 0.1278,                 2.1512,                 1.9266,                 1.3174,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2729,                 1.0888,                 1.0322,                0.39665,                0.40773,                0.33067,                0.10349,                  2.363,                 2.0157,                 1.4311,               0.000948,               0.000948,               0.000948
                     37,                 1.2757,                 1.0912,                 1.0238,                0.41872,                0.43752,                0.38459,                0.15052,                 2.1861,                 1.7996,                 1.3213,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.3249,                 1.1151,                 1.0361,                0.40779,                0.39906,                 0.3811,                0.13251,                 2.1969,                 1.9488,                 1.3477,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2327,                 1.0511,                 1.0186,                0.49009,                0.42206,                0.40451,                0.14853,                 2.1919,                 1.7853,                 1.3236,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.299,                 1.0564,                 1.0196,                0.45598,                0.42442,                0.38269,                0.13016,                 2.2922,                 1.9142,                 1.3704,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2812,                 1.0717,                 1.0294,                0.40585,                0.40959,                0.38374,                0.13052,                 2.2391,                 1.9406,                 1.3169,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2645,                 1.0493,                 1.0178,                0.44379,                0.43512,                0.37515,                0.13202,                    2.2,                 2.1569,                 1.3297,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2538,                 1.0195,                 1.0265,                0.47092,                0.44029,                0.41926,                0.14344,                 2.2479,                 2.1698,                 1.3518,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2598,                 1.0098,                 1.0213,                0.40371,                0.51445,                0.44251,                0.17074,                 2.0905,                 1.7173,                 1.2775,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2374,                 1.0175,                 1.0096,                0.44374,                0.43156,                0.38174,                0.12809,                   2.43,                 1.9727,                  1.464,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2416,                0.98287,                 1.0102,                0.48809,                0.41212,                0.40763,                0.14577,                  2.262,                 1.9355,                 1.3628,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2458,                 1.0025,                 1.0138,                0.44244,                0.45481,                0.40288,                0.12694,                   2.27,                 1.8101,                 1.3657,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2367,                0.99174,                  1.012,                0.48605,                0.49108,                0.43399,                0.14025,                 2.2463,                 1.7763,                  1.371,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2192,                0.98124,                 1.0205,                0.43084,                0.45115,                0.38787,                0.12047,                 2.2538,                 1.7928,                 1.3461,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.2278,                0.97612,                 1.0142,                0.47611,                0.46938,                 0.4564,                  0.146,                 2.2992,                 1.6732,                 1.3738,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2891,                0.97303,                 1.0148,                0.49044,                0.36829,                0.39716,                0.11825,                 2.2648,                 1.8579,                  1.356,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2609,                0.98839,                 1.0215,                0.37307,                0.43924,                0.35993,                0.11611,                 2.2426,                 1.9529,                 1.3497,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2017,                0.95374,                 1.0023,                0.49781,                0.45669,                  0.453,                0.15368,                 2.2183,                 1.8981,                 1.3245,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.2369,                0.93824,                 1.0127,                0.47531,                 0.4439,                0.41558,                0.13941,                 2.2053,                 2.0413,                 1.3574,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1881,                0.92414,                 1.0116,                0.49114,                0.49597,                0.46721,                0.16572,                 2.1305,                 1.7983,                 1.3035,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1533,                0.88401,                0.98942,                0.45322,                0.49041,                0.42089,                0.13108,                 2.2304,                 1.7588,                 1.3552,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.2384,                0.98151,                 1.0157,                0.47938,                0.50013,                0.46106,                0.19166,                 2.0784,                 1.9796,                 1.2723,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.2136,                 0.9373,                 1.0111,                  0.503,                0.43826,                0.39657,                0.13684,                 2.1855,                 1.8641,                  1.323,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1924,                0.90545,                0.98744,                0.47909,                0.45402,                0.41747,                0.12666,                 2.2024,                  1.928,                 1.3231,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.2298,                 0.9329,                 1.0072,                0.50214,                0.50604,                0.46197,                0.16104,                  2.125,                 1.7702,                 1.3032,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.2043,                0.91123,                 1.0065,                0.52383,                0.47326,                0.45886,                0.14411,                 2.2239,                 1.7125,                 1.3357,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1523,                0.86474,                0.99121,                0.48305,                0.43975,                0.42012,                0.14053,                 2.1786,                 1.8861,                 1.3269,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.2193,                0.92127,                 1.0142,                0.53918,                0.47378,                0.45435,                0.16514,                 2.0795,                 1.6821,                 1.2802,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1897,                0.85789,                0.99064,                0.50227,                0.44479,                0.43212,                0.15382,                 2.1989,                 1.8582,                 1.3575,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.2246,                0.90962,                 1.0066,                0.48321,                0.50834,                0.47177,                0.18502,                 2.0515,                 1.8501,                 1.2604,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1703,                0.88144,                0.99416,                0.48808,                0.44689,                0.41996,                0.13696,                 2.3344,                 1.9459,                 1.4033,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1479,                0.86586,                0.99105,                0.48594,                0.44783,                0.43157,                0.17237,                 2.1179,                 1.9275,                 1.3088,             0.00050944,             0.00050944,             0.00050944
                     68,                  1.128,                0.82161,                0.98535,                0.49134,                0.46488,                0.43405,                0.16331,                 2.1077,                  1.771,                 1.3101,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.1398,                0.84376,                0.98722,                0.53575,                0.50189,                 0.4697,                0.17926,                 2.0559,                 1.6659,                 1.2602,             0.00048114,             0.00048114,             0.00048114
